name,price,series,authors,genres,formats,producer,description
Манга Тетрадь Смерти: Black Edition. Книга 1,770,"Тетрадь Смерти,Death Note","Цугуми Ооба,Такэси Обата","мистика,приключения,ужасы,фэнтези","384 страницы, твердый переплет",Азбука,"Человек, чье имя будет записано в этой тетради, умрёт... Записная книжка бога смерти попадает в руки студента Лайта Ягами, и тот решает избавить мир от зла с помощью Тетради смерти. Куда приведут эти благие намерения?,Манга выйдет в твёрдом переплёте, в новой вёрстке, редактуре, с дополненной ретушью и будет содержать в себе 2 тома манги. В издании будут цветные полосы, а в числе дополнительных материалов обложки оригинальных томов в цвете."
"Манга Нелюбимый, том 12",420,"Нелюбимый,Loveless",Кога Юн,"мистика,сёнэн-ай,фэнтези","176 страниц, мягкий переплет",Фабрика комиксов,"В первый день в своей новой школе 12-летний мальчик (Рицука) встретил таинственного молодого человека по имени Соби. Он назвался хорошим другом старшего брата Рицуки, Сэймэя, обгоревший труп которого был найден два года назад. По слухам, старшего брата убила некая организация «Семь Лун», но Соби отказывается отвечать на все вопросы Рицуки. Рицука просит Соби поделить с ним «воспоминания», но в парке на них нападают двое молодых людей, которым известно что-то о «Семи Лунах»."
"Манга Номер один, том 14",320,Номер один,Никки Ли,"комедия,сёдзё","176 страниц, мягкий переплет",Фабрика комиксов,"Шестнадцатилетняя Тэн Лили — дочь трагически погибшей тайваньской супермодели. Несмотря на все уговоры работающей в модельном бизнесе тети, юная девушка не собирается идти по маминым стопам. Но однажды в журнале «GQ» Лили случайно видит поразившее ее фото Ангуса Лэнсона — самого известного в мире из мужчин-моделей. Это круто меняет ее планы и мечты. Теперь она хочет лишь одного: попасть в мир высокой моды, чтобы стать ближе к своему кумиру, у которого, кстати, имеется таинственный брат-близнец."
"Манга Рыцари «Сидонии», том 2",400,Рыцари Сидонии,Цутому Нихэй,"драма,меха,сэйнэн,фантастика","182 страницы, мягкий переплет, суперобложка, цветные иллюстрации",XL Media,"Обитатели «Сидонии» продолжают защищаться от гигантских пришельцев Гауна. Четверка лучших пилотов корабля отправляется на боевой вылет, и среди них — Нагатэ Таникадзе, которому доверили управление легендарным Стражем «Цугумори».,Чтобы спастись от преследования Гауна, капитан должен отдать команду совершить маневр экстренного ускорения, но это может повлечь жертвы среди населения корабля. Тем временем Нагатэ оказывается перед таким же нелегким выбором: рискую собственной жизнью, он пытается спасти девушку по имени Сидзука Хосидзиро, одного из первых друзей, которые появились у него на «Сидонии»."
Манга MNG. Альманах русской манги. Выпуск 15,900,MNG. Альманах русской манги,,,"338 страниц, мягкий переплет",Фабрика комиксов,"«Фабрика комиксов» представляет 15-й выпуск альманаха русской манги. В него вошли как продолжения уже известных историй, так и работы новых авторов.,Предупреждение: это русская манга!, Способ чтения: европейская раскладка книги. Чтение слева направо."
"Манга Таймасин. Дневник экзорциста, том 1",450,Таймасин. Дневник экзорциста,"Кикути Хидэюки,Сайто Мисаки","драма,мистика",296 страниц,Фабрика комиксов,"Что делать, если за вами начинают охоту неприятные типы, одержимые злыми духами? Конечно же, обратиться к доктору Тайме! Этот замечательный специалист, вооруженный набором волшебных игл таимасин, защитит вас от любых происков демонических сил и высасывающих жизнь духов."
"Манга Нелюбимый, том 10",400,"Нелюбимый,Loveless",Кога Юн,"мистика,сёнэн-ай,фэнтези","176 страниц, мягкий переплет",Фабрика комиксов,"В первый день в своей новой школе 12-летний мальчик (Рицука) встретил таинственного молодого человека по имени Соби. Он назвался хорошим другом старшего брата Рицуки, Сэймэя, обгоревший труп которого был найден два года назад. По слухам, старшего брата убила некая организация «Семь Лун», но Соби отказывается отвечать на все вопросы Рицуки. Рицука просит Соби поделить с ним «воспоминания», но в парке на них нападают двое молодых людей, которым известно что-то о «Семи Лунах»."
"Манга Номер один, том 13",320,Номер один,Никки Ли,"комедия,сёдзё","176 страниц, мягкий переплет",Фабрика комиксов,"Шестнадцатилетняя Тэн Лили — дочь трагически погибшей тайваньской супермодели. Несмотря на все уговоры работающей в модельном бизнесе тети, юная девушка не собирается идти по маминым стопам. Но однажды в журнале «GQ» Лили случайно видит поразившее ее фото Ангуса Лэнсона — самого известного в мире из мужчин-моделей. Это круто меняет ее планы и мечты. Теперь она хочет лишь одного: попасть в мир высокой моды, чтобы стать ближе к своему кумиру, у которого, кстати, имеется таинственный брат-близнец."
"Манга Джек Фрост, том 11",320,Джек Фрост,"Ко Джинхо,Jin-Ho KO","драма,мистика","208 страниц, мягкий переплет",Фабрика комиксов,"Главная героиня переходит в новую школу, где втягивается в тайную ночную войну между вампирами и монстрами."
"Манга Девушка у моря, том 2",470,Девушка у моря,Инио Асано,"драма,романтика,юри","192 страницы, мягкий переплет",Фабрика комиксов,"Коумэ и Исобэ живут в маленьком городке, где все всё друг о друге знают. Однако порой это не так: люди видят лишь то, что лежит на поверхности или что им готовы показать. Так послушная дочь и примерная ученица в действительности может оказаться запутавшейся в себе девушкой, открывшей мир чувственных удовольствий. А изгой и высокомерный молчун может незаметно для всех думать о трагических вещах и чувствовать себя потерянным и никому не нужным."
"Манга Re:Zero Жизнь с нуля в альтернативном мире. День в столице королевства, том 1",450,Re:Zero,Таппэй Нагацуки,"приключения,фэнтези","162 страницы, мягкий переплет, суперобложка",Истари комикс,"Возвращаясь домой из магазина, старшеклассник Субару Нацуки попадает в фэнтезийный мир. Юноша, знающий толк в видеоиграх, приходит к выводу, что его призвали в иную реальность. Субару ожидает встречи с призвавшим его персонажем, но на него нападают разбойники. На выручку юноше приходят загадочная сереброволосая красавица и дух в облике кота. В благодарность за спасение Субару предлагает девушке помочь в поисках украденной у неё вещи. Когда цель уже близка, герои вдруг становятся жертвами таинственного убийцы... после чего Субару приходит в чувство и обнаруживает себя на том же самом месте, где начались его приключения. Постепенно юноша понимает, что он наделён способностью «Посмертное возвращение». Субару, проживая раз за разом один и тот же день, пытается найти выход из временной петли и вернуть себе своё будущее."
"Манга Томино в аду, том 1",420,Томино в аду,Суэхиро Маруо,"драма,ужасы","172 страницы, мягкий переплет",Фабрика комиксов,"Брошенные, преданные, проданные... Суэхиро Маруо разворачивает перед читателем горькую летопись боли и страданий, выпавших на долю близнецов, которые были отвергнуты матерью и сбагрены родственниками в бродячий цирк. Стоит ли продолжать жить в мире воров и убийц, садистов и извращенцев всех мастей? Можно ли найти красоту в уродливом окружающем мире? И долго ли удастся балансировать на грани жизни и смерти? Вот вопросы, которые занимают сумрачного гения японской манги."
Манга Свадьба в стране грибов,350,Свадьба в стране грибов,Кэй Мураяма,сёдзё,"162 страницы, мягкий переплет",Фабрика комиксов,"История Ариалы из касты пастухов и Эриэлы из касты писарей разворачивается в мире, где эволюция пошла по иному пути и главенство над планетой получили грибы."
"Манга Нелюбимый, том 11",400,"Нелюбимый,Loveless",Кога Юн,"мистика,сёнэн-ай,фэнтези","176 страниц, мягкий переплет",Фабрика комиксов,"В первый день в своей новой школе 12-летний мальчик (Рицука) встретил таинственного молодого человека по имени Соби. Он назвался хорошим другом старшего брата Рицуки, Сэймэя, обгоревший труп которого был найден два года назад. По слухам, старшего брата убила некая организация «Семь Лун», но Соби отказывается отвечать на все вопросы Рицуки. Рицука просит Соби поделить с ним «воспоминания», но в парке на них нападают двое молодых людей, которым известно что-то о «Семи Лунах»."
"Манга Томино в аду, том 2",420,Томино в аду,Суэхиро Маруо,"драма,ужасы","160 страниц, мягкий переплет",Фабрика комиксов,"Брошенные, преданные, проданные... Суэхиро Маруо разворачивает перед читателем горькую летопись боли и страданий, выпавших на долю близнецов, которые были отвергнуты матерью и сбагрены родственниками в бродячий цирк. Стоит ли продолжать жить в мире воров и убийц, садистов и извращенцев всех мастей? Можно ли найти красоту в уродливом окружающем мире? И долго ли удастся балансировать на грани жизни и смерти? Вот вопросы, которые занимают сумрачного гения японской манги."
"Манга Девушка у моря, том 1",450,Девушка у моря,Инио Асано,"драма,романтика,юри","192 страницы, мягкий переплет",Фабрика комиксов,"Коумэ и Исобэ живут в маленьком городке, где все всё друг о друге знают. Однако порой это не так: люди видят лишь то, что лежит на поверхности или что им готовы показать. Так послушная дочь и примерная ученица в действительности может оказаться запутавшейся в себе девушкой, открывшей мир чувственных удовольствий. А изгой и высокомерный молчун может незаметно для всех думать о трагических вещах и чувствовать себя потерянным и никому не нужным."
"Манга Куклы, том 9",320,Куклы,"Naked Ape,Саки Отоо,Накамура Томоми","детектив,мистика,триллер","194 страницы, мягкий переплет",Фабрика комиксов,"Столицу Третьей империи Тоуто захлестнула волна преступности. Желая ускорить процесс исполнения приговоров, правительство приняло «Закон об эффективности судебной системы», согласно которому суды получили право выносить смертные приговоры в отсутствии обвиняемых. Сотрудники Особого отдела по исполнению высшей меры наказания должны были самостоятельно разыскивать преступников и немедленно приводить приговор в исполнение. За беспрекословное подчинение букве закона и неслыханную жестокость их прозвали «куклами»."
"Манга Куклы, том 10",320,Куклы,"Naked Ape,Саки Отоо,Накамура Томоми","детектив,мистика,триллер","178 страниц, мягкий переплет",Фабрика комиксов,"Столицу Третьей империи Тоуто захлестнула волна преступности. Желая ускорить процесс исполнения приговоров, правительство приняло «Закон об эффективности судебной системы», согласно которому суды получили право выносить смертные приговоры в отсутствии обвиняемых. Сотрудники Особого отдела по исполнению высшей меры наказания должны были самостоятельно разыскивать преступников и немедленно приводить приговор в исполнение. За беспрекословное подчинение букве закона и неслыханную жестокость их прозвали «куклами»."
"Манга Бездомный бог, том 9",400,"Бездомный бог,Noragami",Адатитока,"комедия,мистика,приключения,романтика","196 страниц, мягкий переплет, суперобложка, цветные иллюстрации",XL Media,"«Отец» Ято приказал ему спасти из Ёми — подземного мира — бога Эбису, заклинателя масок. Эбису рассказывает Ято, что он ищет богиню Идзанами, поскольку та владеет кистью, которая дает власть над призраками. Преодолевая на пути различные препятствия, они пробираются в самое сердце Ёми и в конце концов встречают Идзанами — королеву подземного мира и мать Эбису. Та согласна отдать кисть, но ставит гостям условие: она страшно одинока, и кто-то из них двоих должен остаться с ней в Ёми..."
"Манга Бездомный бог, том 7",400,"Бездомный бог,Noragami",Адатитока,"комедия,мистика,приключения,романтика","196 страниц, мягкий переплет, суперобложка, цветные иллюстрации",XL Media,"Cлучилось то, что еще недавно казалось невозможным, — Ято и Бисямон помирились. Но у обоих по-прежнему есть недоброжелатели, и осталось немало недосказанностей, которые сулят новые опасности. К примеру, что случилось с Кугахой? Что хочет Бездомная? И кто тот «отец», про которого она упоминала?.. Но даже богам иногда нужна передышка и минутка для веселья. Слышали ли вы что-нибудь про людей, одержимых богом? Нет? Тогда вас ждет грандиозный школьный дебют Ято!"
"Манга Волчица и пряности, том 14",450,Волчица и пряности,"Кэйто Коумэ,Исуна Хасэкура","приключения,фэнтези","162 страницы, мягкий переплет, суперобложка",Истари комикс,"Лоуренс, который уже почти стал хозяином магазина своей мечты, оказывается втянут в политический конфликт компании Дебау. Игра идёт нешуточная, и, похоже, им с Холо придётся поделиться книгой, которую они так долго искали. Но правильную ли сторону они заняли?.."
Манга Двойняшки Фуро,450,"Двойняшки Фуро,The Furou Siblings",Юки Сивасу,"комедия,мистика,ужасы,сёдзё","192 страницы, мягкий переплет, суперобложка",Истари комикс,"Двойняшки Кёко и Дайскэ Фуро никогда не разлучаются! Тому есть причина: они очень восприимчивы к потустороннему миру. Когда они ходят поодиночке, в них легко вселяются духи, а отогнать призраков брат с сестрой могут только вдвоём! Но что же нарушило их привычную повседневную жизнь?"
