name,price,series,authors,genres,formats,producer,description
"Манга Корзинка фруктов, том 4",650,Корзинка фруктов,Такая Нацуки,"сёдзё,фантастика,драма","мягкая обложка, внутренний блок: 200 страниц",Comix-ART,"В школу, где учится Тору и её домочадцы, поступают ещё двое из семьи Сома — Момидзи и Хацухару, тоже одержимые духами животных китайского календаря. На церемонии поступления Тору знакомится с Акито — главой семьи Сома. Тору слышала, что он жесток и крайне редко появляется на людях. Что же привело его в школу? Если бы Юки мог, он бы помешал им встретиться. Он очень боится за Тору... Чем закончится эта встреча?.."
"Манга Красный сад, том 4",650,Красный сад,Аямура Кирихито,"драма,мистика,сэйнэн","мягкая обложка, внутренний блок: 280 страниц, цветные иллюстрации",Comix-ART,"Эти четыре ученицы престижной школы Рузвельта раньше были едва знакомы. Но однажды они все вместе отправились искать свою общую подругу — и погибли. Их воскресили, дав новые тела, неотличимые от прежних, но наделенные сверхчеловеческой силой. Теперь Кейт, Рейчел, Роуз и Клэр после заката идут на зов красных бабочек, чтобы сражаться с потерявшими человеческий облик отпрысками древнего семейства Делор — такова плата за дарованную им жизнь. Однако Делоры, которых осталось уже очень мало, готовы на всё, чтобы защитить свой род и избавиться от проклятия. Близится Хэллоуин... Чем обернётся карнавал нечистой силы на острове Рузвельта?"
"Манга Жемчуг дракона, том 5",850,Жемчуг дракона,Торияма Акира,"боевые искусства,комедия,приключения,сёнэн,фантастика","мягкая обложка, внутренний блок: 192 страницы",Comix-ART,"Пройдя обучение у Черепашьего Отшельника, Гоку отправился на чемпионат боевых искусств Поднебесной. Наш герой легко одолел многих талантливых бойцов, но в финале встретился с очень сильным участником по имени Джеки Чун, подозрительно похожим на Черепашьего Отшельника. Бой затянулся надолго. Солнце клонится к закату... На небе появилась луна... Все помнят, что происходит, когда Гоку видит луну?"
"Манга Волчица и пряности, том 1",450,Волчица и пряности,"Хасэкура Исуна,Коумэ Кэйто,Аякура Дзю","эротика,фэнтези,сэйнэн,приключения,романтика","глянцевая суперобложка, мягкий переплёт, внутренний блок: ч/б, 180 страниц, цветные иллюстрации, 128 х 182 мм",Истари комикс,"Заглянув на праздник в деревню, странствующий торговец Лоуренс ещё не знал, что случайно поможет сбежать оттуда местной богине урожая — Холо. Она хочет вернутся домой, на Север, и Лоуренс соглашается путешествовать вместе с ней. Впереди их ждёт путь, полный приключений и финансовых авантюр!"
"Манга Волчица и пряности, том 4",450,Волчица и пряности,"Хасэкура Исуна,Коумэ Кэйто,Аякура Дзю","эротика,фэнтези,сэйнэн,приключения,романтика","глянцевая суперобложка, мягкий переплёт, внутренний блок: ч/б, 194 страницы, цветные иллюстрации, 128 х 182 мм",Истари комикс,"Разоблачив обман, Лоуренс заключает новую сделку, и они с Холо направляются в Рюбинхайген, чтобы выгодно продать там ценный груз. Но по пути их ждёт судьбоносная встреча..."
"Манга Красный сад, том 3",650,Красный сад,Аямура Кирихито,"драма,мистика,сэйнэн","мягкая обложка, внутренний блок: 168 страницы, цветные иллюстрации",Comix-ART,"Днём эти четыре девочки живут обычной жизнью нью-йоркских школьниц, а ночью идут на зов бабочек — убивать монстров, в которых один за другим превращаются потомки влиятельного семейства Делор. У девочек нет выхода, ведь эту жизнь они получили взаймы. На самом деле они мертвы, их всех убили. И ничего уже не будет как раньше... Или все-таки у них есть надежда снова стать собой и забыть всё это как страшный сон?.."
"Манга Волчица и пряности, том 2",450,Волчица и пряности,"Хасэкура Исуна,Коумэ Кэйто,Аякура Дзю","эротика,фэнтези,сэйнэн,приключения,романтика","глянцевая суперобложка, мягкий переплёт, внутренний блок: ч/б, 192 страницы, цветные иллюстрации, 128 х 182 мм",Истари комикс,"Лоуренс и Холо начинают догадываться, что они оказались втянуты в масштабную финансовую махинацию. Чтобы извлечь из неё выгоду, они обращаются за помощью к торговому дому Милоне, но кто сказал, что это сойдёт им с рук?.."
"Манга Волчица и пряности, том 3",450,Волчица и пряности,"Хасэкура Исуна,Коумэ Кэйто,Аякура Дзю","эротика,фэнтези,сэйнэн,приключения,романтика","глянцевая суперобложка, мягкий переплёт, внутренний блок: ч/б, 178 страниц, цветные иллюстрации, 128 х 182 мм",Истари комикс,"Лоуренсу удаётся освободить Холо, и кажется, что им уже ничто не угрожает. Однако самое тяжёлое впереди! По лабиринту подземных тоннелей им приходится убегать от наёмников торгового дома Медио, надеясь, что следующий поворот не закончится тупиком."
"Манга Скунс и оцелот, том 1",440,Скунс и оцелот,"Хатчетт Алекс,Богдан","комедия,боевик,тема фурри","глянцевая суперобложка, мягкий переплёт, внутренний блок: ч/б, 160 страниц, 128 х 182 мм",Истари комикс,"Прожжённого хиппаря и законченного металлюгу по ошибке упрятали в два разных монастыря боевых искусств, и быть там монахом сразу стало весьма небезопасно., Так Сэн Тавр и П. Дж. Бладватерз начинают свою карьеру разрушения и глобальных катаклизмов с двух ничего не подозревающих монастырей на склонах горы Шаньдзан."
"Манга Мобильная маргаритка, том 1",,Мобильная маргаритка,Мотоми Кёсукэ,"сёдзё,комедия,романтика,драма,школа","мягкая обложка с клапанами, внутренний блок: ч/б, 192 страницы",РосМанга,"Умирая, брат Тэру оставил ей номер мобильного телефона своего друга Дейзи. Он сказал, чтобы она обращалась к нему в случае, если ей понадобится помощь. Загадочный Дейзи всегда приходит на помощь Тэру, когда та оказывается в беде. Но при этом она даже не знает, как он выглядит. Всё что ей известно о нём — это номер мобильного телефона."
"Манга Одной крови, том 2",,Одной крови,Такано Масаюки,"романтика,мистика,вампиры,сёнэн","глянцевая суперобложка, мягкий переплёт, внутренний блок: ч/б, 210 страниц, цветные иллюстрации, 128 х 182 мм",Истари комикс,"Очаровательная девочка Мисаки и молодой писатель Куроэ живут под одной крышей, и кто бы, глядя на них, мог сказать, что она — вампир, а он, благодаря своим сверхъестественным способностям, помогает полиции в расследовании таинственных случаев? Временами их жизнь безмятежна, временами же им приходится сталкиваться со зловещими потусторонними силами, против которых помогает только вампирская кровь."
"Манга Песня куклы, том 1",450,Песня куклы,Ли Сонён,"сёдзё,мистика,романтика","глянцевая суперобложка, мягкий переплёт, внутренний блок: ч/б, 214 страниц, цветные иллюстрации, 128 х 182 мм",Истари комикс,"Полюбоваться на прекрасную Ухи приезжают со всех концов страны, но отец не разрешает той выходить из дома чаще, чем раз в месяц. Преодолеет ли любовь отцовский запрет и сумрак забвения?"
"Манга Невеста речного бога, том 2",,Невеста речного бога,Юн Мигён,"драма,фэнтези,романтика,сёдзё","глянцевая суперобложка, мягкий переплёт, внутренний блок: ч/б, 178 страниц, цветные иллюстрации, 165 х 116 мм",Истари комикс,"Днём Хабэк — ребёнок, по ночам же он становится взрослым. Соа не знает его истинного облика, но однажды сталкивается с Муи, и с тех пор при каждой новой встрече с ним её сердце замирает от волнения. Случайно сказанные Тхэыльджином слова о том, что Муи — это Хабэк, прозвучали для Соа как гром среди ясного неба. Соа пытается проверить это и находит первые доказательства."
"Манга Одной крови, том 1",,Одной крови,Такано Масаюки,"романтика,мистика,вампиры,сёнэн","глянцевая суперобложка, мягкий переплёт, внутренний блок: ч/б, 194 страницы, цветные иллюстрации, 128 х 182 мм",Истари комикс,"Очаровательная девочка Мисаки и молодой писатель Куроэ живут под одной крышей, и кто бы, глядя на них, мог сказать, что она — вампир, а он, благодаря своим сверхъестественным способностям, помогает полиции в расследовании таинственных случаев? Временами их жизнь безмятежна, временами же им приходится сталкиваться со зловещими потусторонними силами, против которых помогает только вампирская кровь."
"Манга Невеста речного бога, том 5",450,Невеста речного бога,Юн Мигён,"драма,фэнтези,романтика,сёдзё","глянцевая суперобложка, мягкий переплёт, внутренний блок: ч/б, 188 страниц, цветные иллюстрации, 165 х 116 мм",Истари комикс,"Муи хватает Соа на руки, и они вместе возвращаются в Подводное царство. Муи со всей решительностью предлагает Соа выйти за него, но в этот самый миг в Подводное царство попадает ещё одна невеста Хабэка. Новая невеста говорит, что её зовут Накпин, и ей удаётся завоевать доверие своего жениха. Соа, терзаемая муками ревности, принимает опрометчивое решение отправиться на прогулку вместе с Хее."
"Манга КЭТ — Confidentional Assassination Troop, том 1",,КЭТ — Confidentional Assassination Troop,Фун Йиньпан,"сэйнэн,фантастика,боевик","глянцевая суперобложка, мягкий переплёт, внутренний блок: ч/б, 192 страницы, 170 х 111 мм",Истари комикс,"Ближайшее будущее. Информационное противостояние крупнейших государств — подготовка к третьей мировой войне, которую все ожидают. Первостепенной задачей становится захват информации и технологий противника, и главные орудия в этом деле — агенты спецслужб и наёмники. Это российское подразделение «BEAR», китайские «Драконы» и... американские отряды ликвидации «Confidential Assassination Troop», сокращённо называемые C. A. T. И теперь им предстоит столкнуться друг с другом!"
"Манга Невеста речного бога, том 6",450,Невеста речного бога,Юн Мигён,"драма,фэнтези,романтика,сёдзё","глянцевая суперобложка, мягкий переплёт, внутренний блок: ч/б, 182 страницы, цветные иллюстрации, 165 х 116 мм",Истари комикс,"Забрав Соа у Хее, Муи возвращается в Подводное царство, но полученные от императора ранения дают о себе знать. С наступлением дня Муи, став Хабэком, поспешно скрывается. Отправившись на поиски пропавшего Муи, Соа попадает в опасность. В этот момент рядом с ней возникает таинственный мужчина, который говорит, что теперь она — его рабыня..."
"Манга Повелители терний, том 1",500,Повелители терний,Ивахара Юдзи,"приключения,сэйнэн,фантастика","глянцевая суперобложка, мягкий переплёт, внутренний блок: ч/б, 186 страниц, цветные иллюстрации, 128 х 182 мм",Истари комикс,"Планета охвачена эпидемией болезни, превращающей человеческое тело в камень. Сто шестьдесят заражённых погружаются в анабиоз, чтобы дождаться лекарства от вируса, но их пробуждение становится неожиданным: медицинский центр лежит в руинах, а кругом бродят кровожадные твари. Болезнь медленно убивает людей, но они всё же пытаются выжить в новом враждебном мире."
"Манга Невеста речного бога, том 3",450,Невеста речного бога,Юн Мигён,"драма,фэнтези,романтика,сёдзё","глянцевая суперобложка, мягкий переплёт, внутренний блок: ч/б, 188 страниц, цветные иллюстрации, 165 х 116 мм",Истари комикс,"Соа случайно видит встречу Хабэка с умершей, как она считала, Накпин. Той же ночью, не успев оправиться от потрясения, она получает ещё один удар, уже от Муи. Тогда она принимает решение вернуться домой., Но после возвращения, очнувшись в своей комнате, Соа понимает, что ничего не помнит..."
"Манга Невеста речного бога, том 4",,Невеста речного бога,Юн Мигён,"драма,фэнтези,романтика,сёдзё","глянцевая суперобложка, мягкий переплёт, внутренний блок: ч/б, 172 страницы, цветные иллюстрации, 165 х 116 мм",Истари комикс,"Забыв про Хабэка и Подводное царство, Соа решает принять предложение своего друга детства Тонёна. Но явление Муи приводит её в замешательство, втягивая в водоворот сомнений и заставляя колебаться, в то время как день её свадьбы неотвратимо приближается. В ночь перед церемонией, когда Соа пребывает в раздумьях относительно своего выбора, Муи внезапно появляется снова."
"Манга Бабочка, том 2",280,Бабочка,Айкава Ю,"гендерная интрига,мистика,сэйнэн","мягкая обложка с клапанами, внутренний блок: ч/б, 192 страницы",РосМанга,"Теперь-то Гиндзи Исикава знает, что призраков на самом деле создаёт Агэха! Но откуда тогда взялось привидение в школе, о котором столько слухов? Варианта два: или призраки и в самом деле существуют, или появился ещё один медиум с таким же даром, как у Агэхи. Кто же это — друг, соперник или враг, жаждущий мести? Призраки становятся всё опасней, а Гиндзи узнаёт новую тайну об отношениях между его старшим братом и лучшим другом Хатакэямой..."
"Манга Мобильная маргаритка, том 2",,Мобильная маргаритка,Мотоми Кёсукэ,"сёдзё,комедия,романтика,драма,школа","мягкая обложка с клапанами, внутренний блок: ч/б, 192 страницы",РосМанга,"Квартиру бедной школьницы Тэру перевернули вверх дном воры, поэтому девушка пока живёт у школьного уборщика Куросаки. На самом деле Куроскаки — это Дейзи, таинственный друг Тэру по переписке, но она об этом не догадывается. Как они уживутся вместе под одной крышей?!"
"Манга Девочка, покорившая время",450,"Девочка,покорившая время","Котонэ Раммару,Садамото Ёсиюки,Цуцуй Ясутака","драма,научная фантастика,сёнэн,школа","глянцевая суперобложка, мягкий переплёт, внутренний блок: ч/б, 196 страниц, цветные иллюстрации, 128 х 182 мм",Истари комикс,"Макото Конно жила обычной для японской школьницы жизнью и не слишком задумывалась о будущем, пока однажды не получила необычную способность — совершать прыжки во времени. Она начинает с радостью пользоваться ею для решения своих маленьких проблем и просто для удовольствия, когда вдруг оказывается, что она получила её не просто так, а проблемы бывают не только маленькие."
"Манга Невеста речного бога, том 1",450,Невеста речного бога,Юн Мигён,"драма,фэнтези,романтика,сёдзё","глянцевая суперобложка, мягкий переплёт, внутренний блок: ч/б, 188 страниц, 165 х 116 мм",Истари комикс,"Только получив в жёны красавицу, речной бог пошлёт людям дождь. Девушка Соа решает стать его невестой, чтобы спасти свою деревню от засухи. Оставив безутешную семью, она попадает в подводный мир и встречается со своим женихом, однако тот выглядит совсем не так, как она его себе представляла..."
"Манга Он и она и их обстоятельства, том 1",310,Он и она и их обстоятельства,Цуда Масами,"сёдзё,комедия,романтика,драма","мягкая обложка с клапанами, внутренний блок: ч/б, 192 страницы",РосМанга,"Всю жизнь Юкино Миядзава была образцовой ученицей, примером для подражания и первой во всём, но в старших классах у неё внезапно появился конкурент. Не желая делить с выскочкой любовь и почитание окружающих, Юкино стремится во что бы то ни стало доказать всем, что она — лучшая. И кто знает, чем бы закончилась эта вражда, если не выяснилось, что у самой Юкино есть маленький, но страшный секрет..."
"Манга Излом, том 1",450,Излом,Пак Чунги,"фэнтези,драма,приключения,сэйнэн,боевые искусства","глянцевая суперобложка, мягкий переплёт, внутренний блок: ч/б, 204 страницы, цветные иллюстрации, 128 х 182 мм",Истари комикс,"Яран со своим телохранителем Бату по приказу господина отправляется на разведку в клан мятежников. Однако там воины попадают в засаду, и им приходится принять бой даже не зная, кто желает им смерти. Так начинается история о противостоянии кланов и о людях, втянутых в него."
"Манга Он и она и их обстоятельства, том 2",310,Он и она и их обстоятельства,Цуда Масами,"сёдзё,комедия,романтика,драма","мягкая обложка, внутренний блок: ч/б, 192 страницы",РосМанга,"Когда Арима наконец признался Юкино в любви, та растерялась и не нашлась, что ему ответить. Потом она пожалела о своей нерешительности и решила признаться ему в своих чувствах, но это оказалось совсем не так просто сделать!"
"Манга Гостевой клуб лицея Оран, том 1",320,Гостевой клуб лицея Оран,Хатори Биско,"сёдзё,драма,комедия,школа,гендерная интрига,гарем","мягкая обложка, внутренний блок: ч/б, 180 страниц",РосМанга,"Харухи, стипендиат элитного лицея Оран, случайно забредает в кабинет музыки № 3 и сталкивается там с шестью прекрасными юношами из «Гостевого клуба». Однако отделаться от них оказывается не так-то просто, ведь надо как-то рассчитаться за разбитую вазу, стоимостью восемь миллионов йен..."
"Манга КЭТ — Confidentional Assassination Troop, том 2",420,КЭТ — Confidentional Assassination Troop,Фун Йиньпан,"сэйнэн,фантастика,боевик","глянцевая суперобложка, мягкий переплёт, внутренний блок: ч/б, 216 страниц, 170 х 111 мм",Истари комикс,"Специальный агент «CAT», с детства обученная убивать людей, была тяжело ранена при столкновении с русским отрядом «BEAR». К счастью, её спас молодой художник. На время лечения она оставила ремесло наёмного убийцы и стала вести обычную жизнь. Но только Кэт вновь почувствовала себя человеком, как снова оказалась втянута в конфликт, который может погубить мир!"
"Манга Cross. Крест, том 1",,Cross. Крест,"Тории Ацуко,Цудзи Юки","вампиры,дзёсэй","мягкая обложка, внутренний блок: ч/б, 264 страницы, цветные иллюстрации",Comix-ART,"Вампира нельзя убить — они восстают даже из пепла. Но можно сделать так, чтобы ему было очень трудно воскреснуть. Для этого нужны двое: один сражается с вампиром силой мускулов, другой — силой веры. Саки Сигано закончил обучение, но чтобы стать дипломированным заклинателем, ему надо сдать выпускной экзамен. Жаль только, в напарники ему достался какой-то странный тип... Ну кто поверит, что этот щуплый парнишка может тягаться с вампирами в силе и быстроте?.."
"Манга Кровь дракона, том 3",320,Кровь дракона,Сайто Мисаки,"сэйнэн,мистика,триллер","мягкая обложка, внутренний блок: 176 страниц, цветные иллюстрации",Comix-ART,"Никола Бонал, всемирно известный кукловод, готов на всё, чтобы обеспечить своей кукле Веде бессмертие. По неосторожности Дороти становится жертвой смертельных чар Веды, а тэйкеры не успевают остановить кукловода, и ему удается добраться до Источника. Тэйкеры и их оруженосцы не могут приближаться к Источнику, так как его воды для них губительны. Но Элис, несмотря на это, бесстрашно пытается задержать Николу. Сумеет ли Элис выжить и вернуться к Каю?"
"Манга Легенды тёмного кристалла, том 1",,Легенды тёмного кристалла,"Барбара Рэндэл Кесэл,Хайди Арнхольд,Макс Ким","приключения,фэнтези","мягкая обложка с клапанами, внутренний блок: ч/б, 192 страницы",РосМанга,"Четыре столетия назад Темный кристалл раскололся, и из его трещины появились злобные, беспощадные существа скексисы. Теперь они хотят завоевать весь мир и нападают на деревни беззаботных гельфлингов — жителей некогда цветущей долины. Единственные выжившие — Лахр и Неффи — отправляются на поиски горных гельфлингов, чтобы предупредить их о планах скексисов. Когда они находят деревню соседей, времени спасаться уже нет. Остается только готовиться к жестокому бою..., Эта манга — предыстория к классическому фильму-сказке «Тёмный кристалл» Джима Хенсона."
"Манга Кровь дракона, том 4",320,Кровь дракона,Сайто Мисаки,"сэйнэн,мистика,триллер","мягкая обложка, внутренний блок: 184 страницы, цветные иллюстрации",Comix-ART,"На безлюдном острове Пасть Дракона есть Источник, исполняющий желания. Правда, чаще он вместо этого превращает людей в монстров, поэтому путь на остров закрыт, а нарушителей ловят бессмертные охотники тэйкеры. Много лет назад некто Граф захватил в плен тэйкера Джека. Джек никогда никому не рассказывал о страшных пытках и унижениях, которые пережил в его подземной темнице, но теперь пришло время приоткрыть завесу тайны."
"Манга Кровь+, том 1",,Кровь+,Кацура Асука,"сёнэн,вампиры,драма,мистика,романтика","мягкая обложка, внутренний блок: 200 страниц, цветные иллюстрации",Comix-ART,"Сая — приёмная дочь в семье владельца бара Джорджа Отонаси. Живут они спокойно и довольно дружно, хотя старший брат Кай иногда и подкалывает её. Но после встречи с молчаливым виолончелистом Хадзи в жизни Саи всё непоправимо меняется: на её семью нападает загадочный монстр, и оказывается, только Сая может убить эту тварь. Какие же тайны скрывает прошлое Саи?"
"Манга Skip Beat! Не сдавайся!, том 3",650,Skip Beat! Не сдавайся!,Накамура Ёсики,"сёдзё,комедия,романтика,драма","мягкая обложка, внутренний блок: ч/б, 192 страницы",Comix-ART,"Кёко предложили попробоваться на роль, предназначенную восходящей звезде Рурико Мацунай. Но из-за травмы, полученной по вине этой самой Рурико, Кёко теряет сознание прямо во время съёмок. Роль она не получила, но выполнила своё задание — вернула Рурико любовь к работе. А после возвращения в офис Кёко обнаружила, что в отделе появился ещё один сотрудник!"
"Манга Легенда о вампире, том 7",320,Легенда о вампире,"Окусэ Саки,Симидзу Аки","фэнтези,ужасы,сэйнэн,вампиры","мягкая обложка, внутренний блок: 184 страницы",Comix-ART,"Юскэ Химукай — единственный, кто может уничтожить древнего вампира Мигири. но теперь охота идёт на самого Юскэ. Его разыскивает полиция, его преследуют мафия и вампиры, слуги Мигири... Он сеет смерть, и смерть идёт за ним по пятам. Он одержим желанием разыскать сво возлюбленную, ставшую повелительницей вампиров... А его преследователи тем временем уничтожают друг друга."
"Манга Ночная школа, том 1",600,Ночная школа,Шмакова Светлана,"приключения,фэнтези","мягкая обложка, внутренний блок: 200 страниц",Comix-ART,"Где демоны получают свои дипломы?, Оказывается, по ночам в школах тоже идут уроки... правда, для совсем других учеников. В Ночной школе вампиры, оборотни и ведьмы изучают основы различных наук от математики до наложения заклятий. Есть среди ведьм и совершенно особенные, их называют вирнами. Одна из них, Алекс, предпочитает учиться дома, но однажды ей всё же придется отправиться в Ночную школу. А между тем в самой школе начинает происходить нечто странное и зловещее, даже по ведьмовским меркам. Сможет ли Алекс противостоять тьме?"
"Манга Ночная школа, том 2",600,Ночная школа,Шмакова Светлана,"приключения,фэнтези","мягкая обложка, внутренний блок: 192 страницы, цветные иллюстрации",Comix-ART,"Алекс Трэвени изучала магические науки дома. У неё были свои причины не ходить по ночам в школу, где учится большинство ведьм вроде неё, а также вампиры, колдуны, оборотни и прочие обитатели тёмной стороны этого мира. Однако теперь старшая сестра юной ведьмы, Сара, бесследно исчезла, и Алекс решает начать поиски с ночной школы, где та работала."
"Манга Обитель ангелов, том 1",,Обитель ангелов,Юки Каори,"сёдзё,фэнтези,комедия,драма,приключения,романтика,гендерная интрига","мягкая обложка, внутренний блок: 208 страниц",Comix-ART,"Прекрасная дева-воительница, ангел Алексиэль, осмелилась восстать против других ангелов и Бога — и проиграла. Через много лет она возрождается в теле юноши. И вот обычный старшеклассник Сэцуна Мудо, не подозревая, что в нём живет душа мятежного ангела, оказывается втянут в войну между ангелами и демонами. И те, и другие, ожидая пробуждения Алексиэль, собираются в Токио для решающей битвы. Но Сэцуну не волнует война между Небесами и Адом. Все его мысли поглощены любовью — странной, запретной, не дающей ему покоя..."
"Манга Легенда о вампире, том 1",,Легенда о вампире,"Окусэ Саки,Симидзу Аки","фэнтези,ужасы,сэйнэн,вампиры","мягкая обложка, внутренний блок: 208 страниц",Comix-ART,"Три столетия назад вампир по имени Мигири держал в ужасе всю страну, пока не был обезглавлен и осуждён на вечные муки... Но Мигири удалось воскреснуть, и мрачные времена наступили вновь. Единственный, кто способен противостоять могущественному вампиру, — это юноша по имени Юскэ Химукай. Именно он имеет таинственную связь с великим воином, которому когда-то удалось победить Мигири..."
"Манга Обитель ангелов, том 3",600,Обитель ангелов,Юки Каори,"сёдзё,фэнтези,комедия,драма,приключения,романтика,гендерная интрига","мягкая обложка, внутренний блок: 216 страниц",Comix-ART,"Поддавшись на уговоры матери, Сара решает переехать в Лондон и забыть о своих чувствах к Сэцуне. А тем временем на Сэцуну падает подозрение в убийстве одного из учеников его школы, хулигана и наркомана Като. Кира становится на защиту друга..."
"Манга Притяжение, том 1",650,Притяжение,Мураками Маки,"сёдзё,драма,комедия,романтика,сёнэн-ай","мягкая обложка, внутренний блок: 200 страниц, цветные иллюстрации",Comix-ART,"Старшеклассник Сюити Синдо играет техно и мечтает стать профессиональным музыкантом., Однажды на его пути встречается загадочный и безумно обаятельный писатель Эйри Юки, и закон притяжения играет с ними злую шутку..."
"Манга С любовью, Хина, том 2",650,С любовью Хина,Акамацу Кэн,"сёнэн,романтика,комедия,приключения,эротика,гарем","глянцевая суперобложка, мягкий переплёт, внутренний блок: ч/б, 202 страницы, цветные иллюстрации",Comix-ART,"Близятся новые вступительные экзамены в Токийский университет. Кэйтаро и Нару усиленно к ним готовятся... По крайней мере, пытаются. Ведь это довольно тяжело делать в общежитии: постоянно кто-то мешает и отвлекает. А тут еще Рождество, Новый год..."
"Манга С любовью, Хина, том 1",,С любовью Хина,Акамацу Кэн,"сёнэн,романтика,комедия,приключения,эротика,гарем","глянцевая суперобложка, мягкий переплёт, внутренний блок: ч/б, 192 страницы, цветные иллюстрации",Comix-ART,"Кэйтаро Урасима завалил вступительные экзамены, а дома его с такими «успехами» вовсе не ждут. Вот он и решил пожить в рёкане, гостинице в традиционном стиле, принадлежащем его бабушке. Кто же мог знать, что рёкан переделали в женское общежитие! И очаровательные постоялицы нашему герою совсем не обрадовались. Но сюрпризы в жизни Кэйтаро на этом только начинаются..."
"Манга Пожиратели призраков, том 3",320,Пожиратели призраков,Гокуракуин Сакурако,"сэйнэн,мистика","мягкая обложка, внутренний блок: 208 страниц, цветные иллюстрации",Comix-ART,"Таинственным призракам, явившимся из Бездны, в Токио противостоят ещё более таинственные сотрудники Бюро расследований паранормальных явлений. На наших глазах директор одного из таких бюро Асаги Нанами уже провёл несколько блистательных, хоть и весьма опасных расследований. Настала пора приоткрыть завесу тайны: откуда взялись эти бюро и кто такой загадочный Господин Востока, который руководит ими?"
